# Matter power spectrum P(k) at redshift z=0
# for k=1.03153e-05 to 1.03314 h/Mpc,
# number of wavenumbers equal to 547
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.031534118398e-05       4.967626287728e+01 
       2.316421606895e-05       1.085301593339e+02 
       3.605776378402e-05       1.664173856977e+02 
       4.903050172572e-05       2.239354731734e+02 
       6.211751286539e-05       2.814274007298e+02 
       7.535475702375e-05       3.391523100276e+02 
       8.877939201787e-05       3.973332334443e+02 
       1.024301089334e-04       4.561766459213e+02 
       1.163474858079e-04       5.158825118751e+02 
       1.305743640442e-04       5.766503929918e+02 
       1.451562518801e-04       6.386837186750e+02 
       1.601417591852e-04       7.021931242035e+02 
       1.755830676850e-04       7.673993266644e+02 
       1.915364403562e-04       8.345357518807e+02 
       2.080627731032e-04       9.038510766345e+02 
       2.252281907862e-04       9.756117443958e+02 
       2.431046880614e-04       1.050104489231e+03 
       2.617708131038e-04       1.127638894514e+03 
       2.813123888481e-04       1.208549956392e+03 
       3.018232615800e-04       1.293200617507e+03 
       3.234060601797e-04       1.381984185218e+03 
       3.461729406530e-04       1.475326529561e+03 
       3.702462794257e-04       1.573687885578e+03 
       3.957592649570e-04       1.677564053117e+03 
       4.228563205481e-04       1.787486699860e+03 
       4.516932722748e-04       1.904022417668e+03 
       4.824371560172e-04       2.027770111621e+03 
       5.152655390049e-04       2.159356240038e+03 
       5.503652180638e-04       2.299427401849e+03 
       5.879301544480e-04       2.448639784177e+03 
       6.281585209176e-04       2.607645108492e+03 
       6.712487783505e-04       2.777072889471e+03 
       7.173947731496e-04       2.957509173972e+03 
       7.667799552147e-04       3.149472425745e+03 
       8.195709535401e-04       3.353387657358e+03 
       8.759108957445e-04       3.569560675336e+03 
       9.359129907120e-04       3.798154508690e+03 
       9.996549742759e-04       4.039170637185e+03 
       1.067175012915e-03       4.292437222103e+03 
       1.138469551028e-03       4.557606178230e+03 
       1.213493380611e-03       4.834159876782e+03 
       1.292161943953e-03       5.121427228327e+03 
       1.374355606336e-03       5.418587112694e+03 
       1.459925415399e-03       5.724734515735e+03 
       1.548699738909e-03       6.038918451728e+03 
       1.640491156864e-03       6.360129327049e+03 
       1.735103062080e-03       6.687347713290e+03 
       1.832335561811e-03       7.019568649693e+03 
       1.931990432656e-03       7.355821552777e+03 
       2.033875029627e-03       7.695185163818e+03 
       2.137805167867e-03       8.036797305231e+03 
       2.243607074825e-03       8.379861979409e+03 
       2.351118553928e-03       8.723651035491e+03 
       2.460189515304e-03       9.067504796495e+03 
       2.570682023906e-03       9.410829591772e+03 
       2.682469998616e-03       9.753095024025e+03 
       2.795438674012e-03       1.009382964815e+04 
       2.909483913708e-03       1.043261591059e+04 
       3.024511443118e-03       1.076908698222e+04 
       3.140436051423e-03       1.110291978702e+04 
       3.257180797755e-03       1.143383358407e+04 
       3.374676245040e-03       1.176158241070e+04 
       3.492859736237e-03       1.208595403561e+04 
       3.611674721256e-03       1.240676429613e+04 
       3.731070138303e-03       1.272385670503e+04 
       3.850999850248e-03       1.303709541325e+04 
       3.971422134549e-03       1.334636866593e+04 
       4.092299223975e-03       1.365157836141e+04 
       4.213596894642e-03       1.395264793013e+04 
       4.335284097498e-03       1.424950996463e+04 
       4.457332629364e-03       1.454211610331e+04 
       4.579716839662e-03       1.483042331557e+04 
       4.702413369199e-03       1.511434538838e+04 
       4.825400917587e-03       1.539383215223e+04 
       4.948660036209e-03       1.566915097122e+04 
       5.072172943856e-03       1.594001358944e+04 
       5.195923362519e-03       1.620644132343e+04 
       5.319896371032e-03       1.646845228754e+04 
       5.444078274528e-03       1.672637903436e+04 
       5.568456487912e-03       1.697988803882e+04 
       5.693019431730e-03       1.722901102582e+04 
       5.817756439043e-03       1.747381222302e+04 
       5.942657672024e-03       1.771353575565e+04 
       6.067714047209e-03       1.794975410165e+04 
       6.192917168397e-03       1.818171092383e+04 
       6.318259266367e-03       1.840944132660e+04 
       6.443733144637e-03       1.863314535006e+04 
       6.569332130612e-03       1.885286877493e+04 
       6.695050031526e-03       1.906803904799e+04 
       6.820881094656e-03       1.927932555008e+04 
       6.946819971357e-03       1.948654364280e+04 
       7.072861684504e-03       1.968968934783e+04 
       7.199001598990e-03       1.988884796193e+04 
       7.325235394954e-03       2.008390090825e+04 
       7.451559043466e-03       2.027532715182e+04 
       7.577968784406e-03       2.046343480497e+04 
       7.704461106331e-03       2.064706877090e+04 
       7.831032728121e-03       2.082687473433e+04 
       7.957680582223e-03       2.100299006312e+04 
       8.084401799359e-03       2.117536009740e+04 
       8.211193694530e-03       2.134404445225e+04 
       8.338053754204e-03       2.150919004778e+04 
       8.464979624588e-03       2.167067293826e+04 
       8.591969100854e-03       2.182859745263e+04 
       8.719020117261e-03       2.198299880925e+04 
       8.846130738070e-03       2.213390041853e+04 
       8.973299149189e-03       2.228130706886e+04 
       9.100523650483e-03       2.242535395430e+04 
       9.227802648688e-03       2.256604069737e+04 
       9.355134650876e-03       2.270338798385e+04 
       9.482518258420e-03       2.283667811264e+04 
       9.609952161434e-03       2.296822131080e+04 
       9.737435133614e-03       2.309580470903e+04 
       9.864966027484e-03       2.322014902202e+04 
       9.992543769987e-03       2.334136550753e+04 
       1.012016735840e-02       2.345946618709e+04 
       1.024783585657e-02       2.357446418450e+04 
       1.037554839138e-02       2.368654702338e+04 
       1.050330414950e-02       2.379548179847e+04 
       1.063110237441e-02       2.390134333281e+04 
       1.075894236354e-02       2.400448114783e+04 
       1.088682346570e-02       2.410443971289e+04 
       1.101474507865e-02       2.420170182649e+04 
       1.114270664684e-02       2.429608567324e+04 
       1.127070765934e-02       2.438762430367e+04 
       1.139874764790e-02       2.447640968262e+04 
       1.152682618510e-02       2.456237031736e+04 
       1.165494288270e-02       2.464571944496e+04 
       1.178309739007e-02       2.472637276386e+04 
       1.191128939273e-02       2.480435045949e+04 
       1.203951861101e-02       2.487967746034e+04 
       1.216778479875e-02       2.495242152090e+04 
       1.229608774217e-02       2.502262607871e+04 
       1.242442725877e-02       2.509027142124e+04 
       1.255280319631e-02       2.515544171873e+04 
       1.268121543188e-02       2.521812810929e+04 
       1.280966387103e-02       2.527845024970e+04 
       1.293814844695e-02       2.533619957058e+04 
       1.306666911974e-02       2.539170194260e+04 
       1.319522587573e-02       2.544478336664e+04 
       1.332381872681e-02       2.549568160699e+04 
       1.345244770986e-02       2.554404286039e+04 
       1.358111288620e-02       2.559032231742e+04 
       1.370981434113e-02       2.563410613990e+04 
       1.383855218344e-02       2.567597870280e+04 
       1.396732654498e-02       2.571529210338e+04 
       1.409613758035e-02       2.575277065836e+04 
       1.422498546650e-02       2.578798123366e+04 
       1.435387040246e-02       2.582122816119e+04 
       1.448279260902e-02       2.585210988053e+04 
       1.461175232857e-02       2.588117650961e+04 
       1.474074982481e-02       2.590804016763e+04 
       1.486978538259e-02       2.593303663927e+04 
       1.499885930777e-02       2.595599559178e+04 
       1.512797192709e-02       2.597697664282e+04 
       1.525712358803e-02       2.599605369405e+04 
       1.538631465877e-02       2.601324383655e+04 
       1.551554552811e-02       2.602851243952e+04 
       1.564481660543e-02       2.604195751004e+04 
       1.577412832069e-02       2.605354682262e+04 
       1.590348112444e-02       2.606341362856e+04 
       1.603287548783e-02       2.607145945193e+04 
       1.616231190269e-02       2.607761175523e+04 
       1.629179088154e-02       2.608225088388e+04 
       1.642131295775e-02       2.608501463740e+04 
       1.655087868558e-02       2.608603779033e+04 
