# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.193262595015e-10       3.973324182919e-15       3.743492119763e-13       0.000000000000e+00       9.088923653199e-09       3.130417721964e-10      -1.835226527695e-12 
    3       1.160417083985e-10       5.301749294909e-15       4.100624397098e-13       0.000000000000e+00       5.528687976247e-09       2.283975149758e-10      -1.419272185208e-12 
    4       1.120731951381e-10       4.832224538244e-15       3.814164214443e-13       0.000000000000e+00       3.816838963729e-09       1.757133632874e-10      -9.668671248775e-13 
    5       1.089923398185e-10       3.412327403650e-15       3.256464845641e-13       0.000000000000e+00       2.834561616673e-09       1.401724298568e-10      -5.758229421233e-13 
    6       1.069272949418e-10       2.000167432222e-15       2.636936516071e-13       0.000000000000e+00       2.204986331972e-09       1.148339739712e-10      -2.756402080238e-13 
    7       1.057334744276e-10       1.083118579136e-15       2.079731894588e-13       0.000000000000e+00       1.772523349660e-09       9.602203320164e-11      -7.154834677810e-14 
    8       1.051927004397e-10       6.587625313854e-16       1.641406574463e-13       0.000000000000e+00       1.460483118362e-09       8.161799715928e-11       4.580980955302e-14 
    9       1.051962311989e-10       5.084791386462e-16       1.337051997163e-13       0.000000000000e+00       1.226670456003e-09       7.034176895725e-11       9.393157097138e-14 
   10       1.055795446140e-10       4.403523215652e-16       1.156916779202e-13       0.000000000000e+00       1.046080092510e-09       6.137760005986e-11       9.386454158878e-14 
   11       1.062433711844e-10       3.768941058258e-16       1.078397409764e-13       0.000000000000e+00       8.931470221913e-10       5.495804123322e-11       6.673207097041e-14 
   12       1.072010772638e-10       3.214362786258e-16       1.073417813787e-13       0.000000000000e+00       7.799468141125e-10       4.869409174458e-11       2.970619680429e-14 
   13       1.082940698701e-10       2.937110330237e-16       1.115001274965e-13       0.000000000000e+00       6.870930417801e-10       4.363710325319e-11      -3.947290272441e-15 
   14       1.095232085316e-10       2.960067339955e-16       1.182501884148e-13       0.000000000000e+00       6.098999619782e-10       3.916720202475e-11      -2.746618684525e-14 
   15       1.109155139548e-10       3.165227315035e-16       1.261521866414e-13       0.000000000000e+00       5.449679356858e-10       3.543189354835e-11      -3.828905419756e-14 
   16       1.123884544746e-10       3.457423093825e-16       1.343143636975e-13       0.000000000000e+00       4.897957807345e-10       3.227751562496e-11      -3.793303043749e-14 
   17       1.139579411312e-10       3.842569807918e-16       1.424167612205e-13       0.000000000000e+00       4.424953394489e-10       2.951702615324e-11      -3.014531895251e-14 
   18       1.155775131990e-10       4.389643363358e-16       1.504785349028e-13       0.000000000000e+00       4.014665335895e-10       2.700577260219e-11      -1.957148658991e-14 
   19       1.172698144166e-10       5.132720945420e-16       1.587200284543e-13       0.000000000000e+00       3.660399814046e-10       2.477438470036e-11      -9.477138302681e-15 
   20       1.190355989369e-10       6.082705324083e-16       1.674040172344e-13       0.000000000000e+00       3.348543997252e-10       2.285569064258e-11      -2.813714717360e-15 
   21       1.208627018159e-10       7.226031900584e-16       1.766022919976e-13       0.000000000000e+00       3.074143823289e-10       2.119699270460e-11      -2.872560363600e-16 
   22       1.227090546677e-10       8.538022487834e-16       1.862670365450e-13       0.000000000000e+00       2.830555015848e-10       1.969086220005e-11      -1.498814943868e-15 
   23       1.245946287426e-10       1.002145167921e-15       1.962078976103e-13       0.000000000000e+00       2.614482185580e-10       1.832268446032e-11      -5.219982394861e-15 
   24       1.265364883250e-10       1.168499544641e-15       2.061224224034e-13       0.000000000000e+00       2.420953832844e-10       1.709004068104e-11      -9.694704899548e-15 
   25       1.285260399233e-10       1.352638204218e-15       2.156557657065e-13       0.000000000000e+00       2.247326772246e-10       1.597904013663e-11      -1.358778497619e-14 
   26       1.305349449098e-10       1.554068354705e-15       2.244300906452e-13       0.000000000000e+00       2.090187905941e-10       1.496352708265e-11      -1.573996763717e-14 
   27       1.325718593388e-10       1.773801843338e-15       2.322852947183e-13       0.000000000000e+00       1.948710003080e-10       1.404120995532e-11      -1.602786484158e-14 
   28       1.346428091823e-10       2.013462262469e-15       2.391314372588e-13       0.000000000000e+00       1.821162593984e-10       1.320733555841e-11      -1.475769232418e-14 
   29       1.367405826907e-10       2.274789838829e-15       2.449097864366e-13       0.000000000000e+00       1.704428920504e-10       1.244765677955e-11      -1.241063816049e-14 
   30       1.388698975760e-10       2.559204249709e-15       2.496754167455e-13       0.000000000000e+00       1.597858728920e-10       1.175496658356e-11      -9.631368950850e-15 
   31       1.410286571330e-10       2.868080786967e-15       2.535530393723e-13       0.000000000000e+00       1.500656957802e-10       1.111710592424e-11      -7.263416585838e-15 
   32       1.432067497715e-10       3.202741193917e-15       2.566728327352e-13       0.000000000000e+00       1.411280058811e-10       1.051768734173e-11      -6.121600998904e-15 
   33       1.454109453019e-10       3.564019729591e-15       2.590049968587e-13       0.000000000000e+00       1.329236705655e-10       9.957069134181e-12      -6.126005818734e-15 
   34       1.476470075937e-10       3.952526101076e-15       2.604645666901e-13       0.000000000000e+00       1.253794869046e-10       9.438184478715e-12      -6.842959128114e-15 
   35       1.499143801752e-10       4.368820371940e-15       2.609539287626e-13       0.000000000000e+00       1.183825329251e-10       8.961183195715e-12      -7.786561150412e-15 
   36       1.522138780897e-10       4.813662934476e-15       2.603652576954e-13       0.000000000000e+00       1.119144171531e-10       8.525033765564e-12      -8.720091371009e-15 
   37       1.545411075541e-10       5.287841389130e-15       2.585769633257e-13       0.000000000000e+00       1.059547132228e-10       8.125909913617e-12      -9.449739377660e-15 
   38       1.568833477463e-10       5.792100057132e-15       2.554515907324e-13       0.000000000000e+00       1.004403852162e-10       7.756357189648e-12      -9.741487029429e-15 
   39       1.592258559502e-10       6.327146066941e-15       2.508676260961e-13       0.000000000000e+00       9.528848738402e-11       7.407655686625e-12      -9.403336755997e-15 
   40       1.615754293160e-10       6.893678259770e-15       2.448307346525e-13       0.000000000000e+00       9.048313349146e-11       7.078657052721e-12      -8.571987706658e-15 
   41       1.639434594698e-10       7.492362530965e-15       2.373985444820e-13       0.000000000000e+00       8.601160347503e-11       6.769424133070e-12      -7.519603196833e-15 
   42       1.663391758692e-10       8.123820644347e-15       2.286523290344e-13       0.000000000000e+00       8.183839652629e-11       6.478693199565e-12      -6.581289384984e-15 
