# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.209200673747e-10       4.639482779684e-15       2.110172724891e-13       1.971306493618e-19       6.159131752961e-09       7.622640288962e-10      -1.833864462363e-12 
    3       1.952026873656e-10       5.116015002043e-15       2.989169874713e-13       3.943559503748e-19       3.809169428497e-09       5.300821090801e-10      -1.257303042770e-12 
    4       1.752745872513e-10       3.660839918433e-15       3.085484110307e-13       6.574679305143e-19       2.660661408050e-09       3.976771982204e-10      -6.825989459685e-13 
    5       1.607637081621e-10       2.030805314312e-15       2.759311165042e-13       9.865864045195e-19       1.993299389944e-09       3.125870137533e-10      -2.563145448036e-13 
    6       1.503718255229e-10       1.045649678085e-15       2.276164118144e-13       1.381855831752e-18       1.561459555135e-09       2.536635890677e-10       2.791864160836e-16 
    7       1.430485133452e-10       6.366867561955e-16       1.809334788334e-13       1.843442057023e-18       1.262509043139e-09       2.108760702720e-10       1.125248955553e-13 
    8       1.378636842586e-10       4.780248995852e-16       1.447175279511e-13       2.371528665125e-18       1.045275573858e-09       1.786866586110e-10       1.255702940807e-13 
    9       1.342635092007e-10       3.803870793517e-16       1.218837584967e-13       2.966313075971e-18       8.815102829756e-10       1.537151807243e-10       8.698316947021e-14 
   10       1.318000247642e-10       3.097293276581e-16       1.115266724110e-13       3.628002514508e-18       7.544701552139e-10       1.338066802877e-10       3.538543661649e-14 
   11       1.301474044644e-10       2.751553454201e-16       1.108337173734e-13       4.356809991548e-18       6.501210554133e-10       1.184068458545e-10      -4.310105450027e-15 
   12       1.292046202629e-10       2.719548476312e-16       1.164428369457e-13       5.152950428187e-18       5.693305517683e-10       1.047856529080e-10      -2.468383724377e-14 
   13       1.288020396819e-10       2.895031136277e-16       1.252701246917e-13       6.016637047882e-18       5.028138497752e-10       9.355058234771e-11      -2.636841999027e-14 
   14       1.288125815292e-10       3.257967598132e-16       1.352183477557e-13       6.948078146789e-18       4.473294880566e-10       8.409806594890e-11      -1.716831766118e-14 
   15       1.291656629956e-10       3.842669123792e-16       1.452758605870e-13       7.947474335211e-18       4.005146624634e-10       7.583901913877e-11      -6.026637319793e-15 
